OrderID,ProductID,CustomerID,DateID,TerritoryID,Quantity,UnitPrice,UnitCost,SalesAmount_USD,SalesAmount_GBP,TaxAmount
1001,8,45,20210813,5,1,30.63,26,30.63,24.2,4.84
1002,15,177,20220810,5,4,56.05,45,224.21,177.13,35.43
1003,10,181,20211130,3,4,36.34,32,145.36,114.83,22.97
1004,9,161,20211202,5,2,34.13,26,68.25,53.92,10.78
1005,8,166,20230221,2,3,39.35,26,118.04,93.25,18.65
1006,2,43,20210414,3,5,1327.03,900,6635.15,5241.77,1048.35
1007,10,113,20230328,1,4,46.22,32,184.88,146.06,29.21
1008,13,70,20231002,5,5,8.08,6,40.41,31.92,6.38
1009,20,11,20210427,4,3,25.23,18,75.7,59.8,11.96
1010,3,59,20210208,6,5,919.75,660,4598.75,3633.01,726.6
1011,9,148,20210201,1,2,34.72,26,69.43,54.85,10.97
1012,15,72,20230725,2,5,59.31,45,296.54,234.27,46.85
1013,3,121,20221207,3,4,835.99,660,3343.97,2641.74,528.35
1014,4,42,20230821,3,4,31.83,22,127.32,100.58,20.12
1015,13,195,20220218,5,1,7.96,6,7.96,6.29,1.26
1016,9,83,20220329,1,4,39.84,26,159.38,125.91,25.18
1017,18,119,20210104,4,1,19.1,16,19.1,15.09,3.02
1018,20,194,20220603,4,4,26.64,18,106.56,84.18,16.84
1019,9,141,20211020,2,3,34.3,26,102.89,81.28,16.26
1020,16,32,20230929,1,5,10.5,7,52.49,41.47,8.29
1021,6,80,20231016,5,1,13.76,10,13.76,10.87,2.17
1022,8,30,20210514,4,1,37.02,26,37.02,29.25,5.85
1023,16,184,20210810,3,5,10.17,7,50.84,40.16,8.03
1024,16,121,20220819,2,4,9.63,7,38.52,30.43,6.09
1025,7,154,20220705,5,2,21.45,14,42.9,33.89,6.78
1026,14,88,20220201,5,3,13.59,9,40.78,32.22,6.44
1027,10,151,20220210,5,4,49.04,32,196.18,154.98,31.0
1028,18,124,20221004,3,3,22.02,16,66.05,52.18,10.44
1029,13,117,20230220,3,2,9.54,6,19.08,15.07,3.01
1030,19,99,20211209,2,4,13.46,12,53.85,42.54,8.51
1031,16,181,20231205,4,4,11.16,7,44.64,35.27,7.05
1032,5,127,20230725,1,2,5.4,4,10.81,8.54,1.71
1033,11,26,20230427,4,1,10.9,8,10.9,8.61,1.72
1034,1,185,20221018,2,4,1105.54,720,4422.14,3493.49,698.7
1035,3,121,20210811,3,3,931.68,660,2795.03,2208.07,441.61
1036,3,85,20220726,6,5,851.4,660,4257.02,3363.05,672.61
1037,16,139,20220331,1,5,7.94,7,39.7,31.36,6.27
1038,10,59,20230626,6,1,42.14,32,42.14,33.29,6.66
1039,4,114,20210521,2,3,34.14,22,102.41,80.9,16.18
1040,11,15,20210309,3,3,10.3,8,30.9,24.41,4.88
1041,8,136,20210729,4,5,37.46,26,187.32,147.98,29.6
1042,6,45,20210916,1,5,15.35,10,76.77,60.65,12.13
1043,8,128,20230608,5,2,31.62,26,63.24,49.96,9.99
1044,9,118,20230705,3,1,40.29,26,40.29,31.83,6.37
1045,10,174,20221031,5,2,36.38,32,72.76,57.48,11.5
1046,19,77,20220511,6,4,17.34,12,69.37,54.8,10.96
1047,10,51,20221018,4,4,36.91,32,147.63,116.63,23.33
1048,19,92,20220701,5,3,19.16,12,57.47,45.4,9.08
1049,1,169,20220301,4,3,794.92,720,2384.75,1883.95,376.79
1050,2,156,20230912,6,4,1364.78,900,5459.11,4312.7,862.54
1051,8,156,20220216,3,2,36.88,26,73.75,58.26,11.65
1052,9,174,20230609,6,2,36.77,26,73.53,58.09,11.62
1053,2,80,20230620,4,1,1250.81,900,1250.81,988.14,197.63
1054,5,24,20231116,3,3,5.89,4,17.68,13.97,2.79
1055,7,34,20210909,5,3,19.12,14,57.35,45.31,9.06
1056,6,66,20220127,4,3,14.73,10,44.2,34.92,6.98
1057,4,120,20220502,1,2,32.5,22,64.99,51.34,10.27
1058,13,143,20211122,3,1,8.97,6,8.97,7.09,1.42
1059,9,138,20210121,1,4,33.39,26,133.57,105.52,21.1
1060,9,150,20231211,4,3,30.01,26,90.03,71.12,14.22
1061,16,7,20211202,5,5,8.85,7,44.24,34.95,6.99
1062,8,166,20230525,1,4,40.42,26,161.69,127.74,25.55
1063,14,30,20220310,2,1,14.16,9,14.16,11.19,2.24
1064,16,30,20220314,1,2,10.81,7,21.61,17.07,3.41
1065,13,117,20210714,3,5,7.86,6,39.29,31.04,6.21
1066,5,107,20231201,6,1,6.07,4,6.07,4.8,0.96
1067,14,72,20230602,1,3,10.88,9,32.63,25.78,5.16
1068,8,93,20220930,1,3,35.68,26,107.03,84.55,16.91
1069,12,16,20230714,4,3,5.97,5,17.92,14.16,2.83
